experiment,type,accuracy,precision,recall,f1_score,auc,threshold,positive_count,negative_count
kl_t20,student,0.45151515151515154,0.45288753799392095,0.9933333333333333,0.6221294363256785,0.5387592592592593,0.5,150,180
alpha075,student,0.45151515151515154,0.4520123839009288,0.9733333333333334,0.6173361522198731,0.5075555555555555,0.5,150,180
kl_t15,student,0.44545454545454544,0.4492307692307692,0.9733333333333334,0.6147368421052631,0.5079444444444444,0.5,150,180
student_ensemble,ensemble,0.44545454545454544,0.4492307692307692,0.9733333333333334,0.6147368421052631,0.5319074074074074,0.5,150,180
alpha070,student,0.4484848484848485,0.4503105590062112,0.9666666666666667,0.614406779661017,0.5506666666666666,0.5,150,180
alpha073,student,0.4484848484848485,0.4503105590062112,0.9666666666666667,0.614406779661017,0.5211666666666667,0.5,150,180
